0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 37279
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:13 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:17 +0700] "POST /MyWeb_2020/ControllerUser?action=remove&id=8 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 37279
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:18 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:22 +0700] "POST /MyWeb_2020/ControllerUser?action=remove&id=8 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:23 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 37279
